SSID;BSSID
Livebox-rollin's;2c:39:96:49:d3:c6
SFR-5b10;a4:08:f5:c9:5b:16
Bbox-F92A10;00:1f:9f:bf:09:69
Bbox-10C10234-5GHz;3c:81:d8:75:65:94
SFR-5b10_5GHz;a4:08:f5:c9:5b:17
Bbox-C974D670-5GHz;00:26:86:1e:38:5eSSID;BSSID
Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
Livebox-41FC;40:f2:01:70:41:fc
orange;42:f2:01:70:41:fc
freeRaf;68:a3:78:63:40:a4
FreeWifi;68:a3:78:63:40:a5
Bbox-C974D670;f8:ab:05:06:45:a0
orange;c2:1b:29:a7:8e:ea
SFR-a430_EXT;b0:7f:b9:44:3a:aa
FreeWifi;68:a3:78:ad:9e:51
FreeWifi;f4:ca:e5:d2:f2:0d
Bbox-668989C1;64:7c:34:c1:67:fc
NUMERICABLE-A288;c0:d9:62:31:f7:89
Get Out 72;84:a1:d1:9f:85:62
Freebox-9561CE;00:24:d4:95:61:cf
FreeWifi;00:24:d4:95:61:d0
FreeWifi_secure;00:24:d4:95:61:d1
Bbox-10C10234-5GHz;3c:81:d8:75:65:94
Livebox-acb4;d0:ae:ec:4b:87:02
Bbox-10C10234;3c:81:d8:75:65:90
orange;d6:ae:ec:4b:87:02
Livebox-8EEA;a0:1b:29:a7:8e:ea
Freebox-52F5C0;68:a3:78:ad:9e:50
FreeWifi_secure;68:a3:78:63:40:a6
FreeWifi;f4:ca:e5:dd:79:19
FreeWifi_secure;f4:ca:e5:dd:79:1a
freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
FreeWifi_secure;4e:28:e3:82:8e:cb
FreeWifi;4e:28:e3:82:8e:ca
Freeclh13;4e:28:e3:82:8e:c8
orange;9a:26:6c:43:da:e4
Livebox-DAE4;b8:26:6c:43:da:e4
Bbox-109AD9;00:1f:9f:bd:e3:5d
SFR-2017;44:e9:dd:ed:d8:3e
Freebox-4D4941;f4:ca:e5:d2:f2:0c
FreeWifi_secure;68:a3:78:ad:9e:52
orange;12:7c:b2:14:54:e3
Livebox-54E3;30:7c:b2:14:54:e3
Coloc-Soupe;6c:38:a1:5a:dd:78
Livebox-rollin's;2c:39:96:49:d3:c6
Bbox-AE3FC450;d8:6c:e9:96:c7:90
SFR-5b10;a4:08:f5:c9:5b:16
Bbox-F92A10;00:1f:9f:bf:09:69
Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
SFR-5b10_5GHz;a4:08:f5:c9:5b:17
Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:45:08.237863;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:45:08.237919;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:45:08.237925;orange;d6:ae:ec:4b:87:02
2018-02-04 16:45:08.237928;FreeWifi_secure;68:a3:78:ad:9e:52
2018-02-04 16:45:08.237932;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:45:08.237936;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:45:08.237942;Chezjul;f4:ca:e5:dd:79:18
2018-02-04 16:45:08.237948;FreeWifi_secure;06:7f:8f:c1:cf:82
2018-02-04 16:45:08.237952;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:45:08.237955;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:45:08.237958;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:45:08.237961;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:45:08.237967;Freebox-9561CE;00:24:d4:95:61:cf
2018-02-04 16:45:08.237974;FreeWifi;4e:28:e3:82:8e:ca
2018-02-04 16:45:08.237981;Freeclh13;4e:28:e3:82:8e:c8
2018-02-04 16:45:08.237987;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:45:08.237991;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:45:08.237994;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:45:08.237997;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:45:08.238000;Freebox-4D4941;f4:ca:e5:d2:f2:0c
2018-02-04 16:45:08.238004;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:45:08.238008;Bbox-10C10234;3c:81:d8:75:65:90
2018-02-04 16:45:08.238015;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:45:08.238022;Coloc-Soupe;6c:38:a1:5a:dd:78
2018-02-04 16:45:08.238029;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:45:08.238032;FreeWifi;f4:ca:e5:f9:c6:7d
2018-02-04 16:45:08.238036;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:45:08.238039;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:45:08.238042;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:45:08.238045;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:45:08.238052;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:45:27.235902;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:45:27.235940;orange;d6:ae:ec:4b:87:02
2018-02-04 16:45:27.235947;FreeWifi_secure;68:a3:78:ad:9e:52
2018-02-04 16:45:27.235950;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:45:27.235954;Chezjul;f4:ca:e5:dd:79:18
2018-02-04 16:45:27.235957;FreeWifi_secure;06:7f:8f:c1:cf:82
2018-02-04 16:45:27.235962;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:45:27.235970;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:45:27.235974;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:45:27.235977;FreeWifi;f4:ca:e5:f9:c6:7d
2018-02-04 16:45:27.235982;Bbox-10C10234;3c:81:d8:75:65:90
2018-02-04 16:45:27.235989;Freebox-4D4941;f4:ca:e5:d2:f2:0c
2018-02-04 16:45:27.235996;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:45:27.236002;FreeWifi;4e:28:e3:82:8e:ca
2018-02-04 16:45:27.236006;Freebox-9561CE;00:24:d4:95:61:cf
2018-02-04 16:45:27.236009;Livebox-933A;00:37:b7:95:93:3b
2018-02-04 16:45:27.236012;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:45:27.236015;Freeclh13;4e:28:e3:82:8e:c8
2018-02-04 16:45:27.236018;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:45:27.236024;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:45:27.236030;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:45:27.236037;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:45:27.236041;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:45:27.236044;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:45:27.236047;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:45:27.236050;Freebox-4363F5;f4:ca:e5:f9:c6:7c
2018-02-04 16:45:27.236053;Coloc-Soupe;6c:38:a1:5a:dd:78
2018-02-04 16:45:27.236059;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:45:27.236067;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:45:27.236071;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:45:27.236076;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:45:27.236083;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:45:27.236090;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:45:46.264187;orange;d6:ae:ec:4b:87:02
2018-02-04 16:45:46.264225;FreeWifi_secure;68:a3:78:ad:9e:52
2018-02-04 16:45:46.264234;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:45:46.264241;FreeWifi_secure;06:7f:8f:c1:cf:82
2018-02-04 16:45:46.264245;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:45:46.264249;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:45:46.264252;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:45:46.264255;Bbox-10C10234;3c:81:d8:75:65:90
2018-02-04 16:45:46.264258;Freebox-4D4941;f4:ca:e5:d2:f2:0c
